FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
73,201.0,29347,19890,,0,,,0,,0,125
56,129.0,22111,14182,,0,,,0,,0,154
54,126.0,21478,14003,,0,,,0,,0,141
58,149.0,23611,16564,,0,,,0,,0,122
98,259.0,26697,16467,,0,,,0,,0,219
77,207.0,29148,19373,,0,,,0,,0,142
60,144.0,22511,14844,,0,,,0,,0,131
65,167.0,26130,18275,,0,,,0,,0,121
61,157.0,24957,17361,,0,,,0,,0,107
64,165.0,26192,18145,,0,,,0,,0,103
76,199.0,30435,20576,,0,,,0,,0,227
69,180.0,27105,18363,,0,,,0,,0,164
67,172.0,26719,18343,,0,,,0,,0,132
52,125.0,21286,13993,,0,,,0,,0,113
57,134.0,22468,14742,,0,,,0,,0,167
67,175.0,27623,18930,,0,,,0,,0,116
143,,21902,10725,,0,,,0,,0,190
53,133.0,20702,14038,,0,,,0,,0,115
65,169.0,25811,17860,,0,,,0,,0,147
72,188.0,27453,18571,,0,,,0,,0,176
103,274.0,25396,15279,,0,,,0,,0,223
60,146.0,23403,15810,,0,,,0,,0,114
81,218.0,27852,18145,,0,,,0,,0,175
70,186.0,29184,20021,,0,,,0,,0,128
55,130.0,23047,15267,,0,,,0,,0,100
61,150.0,23289,15690,,0,,,0,,0,150
64,160.0,25861,17802,,0,,,0,,0,116
58,140.0,22828,15157,,0,,,0,,0,133
64,163.0,26305,18130,,0,,,0,,0,106
45,104.0,18322,11046,,0,,,0,,0,111
81,211.0,29170,19419,,0,,,0,,0,134
78,208.0,29969,19875,,0,,,0,,0,143
70,186.0,29184,20021,,0,,,0,,0,111
55,127.0,22789,14488,,0,,,0,,0,106
80,215.0,29132,19310,,0,,,0,,0,225
71,190.0,27591,18775,,0,,,0,,0,158
58,134.0,22932,14849,,0,,,0,,0,124
51,125.0,21450,14169,,0,,,0,,0,128
71,195.0,29234,19821,,0,,,0,,0,138
58,137.0,23150,15386,,0,,,0,,0,109
67,175.0,27623,18930,,0,,,0,,0,107
68,175.0,26593,18087,,0,,,0,,0,126
77,207.0,29148,19373,,0,,,0,,0,127
69,173.0,27211,18461,,0,,,0,,0,162
62,157.0,23633,16315,,0,,,0,,0,134
63,151.0,24258,16405,,0,,,0,,0,128
55,140.0,23443,15991,,0,,,0,,0,112
54,124.0,21513,13883,,0,,,0,,0,144
67,167.0,26863,18204,,0,,,0,,0,132
69,180.0,28052,19015,,0,,,0,,0,129
