FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
78,160.0,7494,3767,,0,,,0,,0,137
92,184.0,7608,3494,,0,,,0,,0,235
75,149.0,7690,3621,,0,,,0,,0,116
85,178.0,7390,3485,,0,,,0,,0,125
75,150.0,6954,3433,,0,,,0,,0,136
83,164.0,7269,3584,,0,,,0,,0,125
109,220.0,6739,2915,,0,,,0,,0,229
96,198.0,7358,3183,,0,,,0,,0,163
84,168.0,7207,3448,,0,,,0,,0,153
96,196.0,6682,3001,,0,,,0,,0,160
70,130.0,6469,2837,,0,,,0,,0,139
65,131.0,6232,3050,,0,,,0,,0,106
73,151.0,6772,3360,,0,,,0,,0,130
98,203.0,7057,3035,,0,,,0,,0,147
72,141.0,6736,3098,,0,,,0,,0,149
76,158.0,7609,3742,,0,,,0,,0,147
82,168.0,7243,3603,,0,,,0,,0,158
65,120.0,6176,2702,,0,,,0,,0,141
88,175.0,7478,3543,,0,,,0,,0,178
64,122.0,6321,2813,,0,,,0,,0,108
67,128.0,6624,3075,,0,,,0,,0,109
67,130.0,6397,2972,,0,,,0,,0,133
54,101.0,5941,2568,,0,,,0,,0,110
191,,8251,3397,,0,,,0,,0,200
74,141.0,6834,3048,,0,,,0,,0,168
76,154.0,7749,3864,,0,,,0,,0,110
66,124.0,6354,2872,,0,,,0,,0,156
63,118.0,6376,2843,,0,,,0,,0,99
73,154.0,7173,3590,,0,,,0,,0,125
60,117.0,6039,2849,,0,,,0,,0,111
69,143.0,6738,3362,,0,,,0,,0,111
77,157.0,7635,3771,,0,,,0,,0,119
78,161.0,7603,3730,,0,,,0,,0,160
64,125.0,6364,3025,,0,,,0,,0,105
94,188.0,7418,3307,,0,,,0,,0,153
82,160.0,7152,3507,,0,,,0,,0,214
70,134.0,6519,2930,,0,,,0,,0,161
67,125.0,6210,2771,,0,,,0,,0,133
63,118.0,6322,2777,,0,,,0,,0,106
67,125.0,6520,2888,,0,,,0,,0,128
82,160.0,7152,3507,,0,,,0,,0,164
64,125.0,6364,3025,,0,,,0,,0,109
54,98.0,5924,2297,,0,,,0,,0,112
83,169.0,7019,3485,,0,,,0,,0,159
123,239.0,6618,2709,,0,,,0,,0,223
170,303.0,7661,3070,,0,,,0,,0,207
118,225.0,6458,2639,,0,,,0,,0,181
63,118.0,6104,2803,,0,,,0,,0,106
71,139.0,6739,3050,,0,,,0,,0,150
113,225.0,6509,2702,,0,,,0,,0,219
