FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
48,95,12252,5628,,0,,,0,,0,89
51,104,12022,5975,,0,,,0,,0,115
49,98,11319,5229,,0,,,0,,0,93
51,104,12022,5975,,0,,,0,,0,115
50,102,12356,5858,,0,,,0,,0,107
49,100,11639,5379,,0,,,0,,0,97
50,101,12457,5838,,0,,,0,,0,99
47,92,12384,5719,,0,,,0,,0,95
49,99,11685,5413,,0,,,0,,0,92
46,90,11412,5183,,0,,,0,,0,88
50,103,12484,5832,,0,,,0,,0,105
49,98,12210,5686,,0,,,0,,0,96
46,91,11707,5402,,0,,,0,,0,98
46,91,11220,5195,,0,,,0,,0,88
47,95,11652,5334,,0,,,0,,0,107
47,93,11836,5522,,0,,,0,,0,111
46,91,11172,5041,,0,,,0,,0,91
46,91,11772,5455,,0,,,0,,0,103
49,97,11638,5285,,0,,,0,,0,89
46,91,12037,5584,,0,,,0,,0,95
50,102,11786,5731,,0,,,0,,0,112
50,102,12378,5695,,0,,,0,,0,104
46,90,11529,5251,,0,,,0,,0,89
50,103,12484,5832,,0,,,0,,0,106
47,92,12384,5719,,0,,,0,,0,91
50,102,11786,5731,,0,,,0,,0,111
50,100,11867,5638,,0,,,0,,0,97
46,92,11649,5406,,0,,,0,,0,91
49,99,11076,5013,,0,,,0,,0,98
50,102,12378,5695,,0,,,0,,0,101
49,98,11808,5584,,0,,,0,,0,93
50,101,12039,5722,,0,,,0,,0,105
47,94,11982,5714,,0,,,0,,0,95
49,96,12629,5931,,0,,,0,,0,93
46,91,12037,5584,,0,,,0,,0,94
50,101,11627,5502,,0,,,0,,0,102
