FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
74,141,20233,9981,,0,,,0,,0,111
69,129,19990,9743,,0,,,0,,0,111
68,126,19901,9432,,0,,,0,,0,98
71,133,19467,9329,,0,,,0,,0,89
72,138,19579,9516,,0,,,0,,0,105
68,127,20046,9647,,0,,,0,,0,91
73,137,19822,9483,,0,,,0,,0,98
73,138,20049,9676,,0,,,0,,0,92
69,130,20075,9678,,0,,,0,,0,95
70,130,19757,9371,,0,,,0,,0,89
74,145,20162,10071,,0,,,0,,0,115
68,127,20307,9432,,0,,,0,,0,91
68,125,20104,9432,,0,,,0,,0,94
72,138,19685,9509,,0,,,0,,0,99
74,142,20343,10109,,0,,,0,,0,107
72,140,20133,9873,,0,,,0,,0,105
71,134,19455,9582,,0,,,0,,0,93
70,132,19903,9567,,0,,,0,,0,92
72,139,19943,9895,,0,,,0,,0,104
71,137,19405,9460,,0,,,0,,0,97
67,124,19571,9218,,0,,,0,,0,89
74,140,19843,9872,,0,,,0,,0,102
68,126,19956,9432,,0,,,0,,0,103
72,140,20133,9873,,0,,,0,,0,104
74,145,20162,10071,,0,,,0,,0,115
69,128,20101,9432,,0,,,0,,0,88
68,125,20104,9432,,0,,,0,,0,95
73,139,19603,9475,,0,,,0,,0,97
71,135,19782,9501,,0,,,0,,0,96
67,124,19532,9218,,0,,,0,,0,88
68,127,20307,9432,,0,,,0,,0,95
74,141,20233,9981,,0,,,0,,0,112
68,126,19919,9432,,0,,,0,,0,91
71,134,19299,9441,,0,,,0,,0,93
69,131,19765,9572,,0,,,0,,0,106
72,139,19943,9895,,0,,,0,,0,101
