FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
59,117,12627,6993,,0,,,0,,0,92
60,121,13175,7362,,0,,,0,,0,107
60,123,12670,7240,,0,,,0,,0,115
57,110,13646,7192,,0,,,0,,0,88
55,108,13108,6985,,0,,,0,,0,103
60,121,13375,7397,,0,,,0,,0,105
57,112,12965,7060,,0,,,0,,0,89
55,107,13908,7701,,0,,,0,,0,94
59,116,12307,6736,,0,,,0,,0,98
55,107,13908,7701,,0,,,0,,0,95
56,111,13162,7129,,0,,,0,,0,95
56,109,13495,7363,,0,,,0,,0,95
59,118,12767,6976,,0,,,0,,0,97
59,120,13219,7345,,0,,,0,,0,101
58,115,12557,6757,,0,,,0,,0,93
55,107,13058,7100,,0,,,0,,0,91
59,116,13145,7108,,0,,,0,,0,96
58,116,12882,7041,,0,,,0,,0,93
59,118,12671,7074,,0,,,0,,0,97
56,109,13495,7363,,0,,,0,,0,91
58,114,12940,7064,,0,,,0,,0,89
55,106,13184,7225,,0,,,0,,0,88
60,123,12670,7240,,0,,,0,,0,115
59,120,12718,7141,,0,,,0,,0,111
55,106,13317,7315,,0,,,0,,0,89
56,110,12921,6961,,0,,,0,,0,111
55,108,13178,7130,,0,,,0,,0,91
55,108,13182,6971,,0,,,0,,0,98
59,120,12718,7141,,0,,,0,,0,112
59,118,13113,7106,,0,,,0,,0,99
56,112,12786,6971,,0,,,0,,0,107
59,119,12991,7200,,0,,,0,,0,105
59,119,12664,7032,,0,,,0,,0,102
58,113,13452,7215,,0,,,0,,0,93
59,120,13219,7345,,0,,,0,,0,104
60,121,13375,7397,,0,,,0,,0,106
