FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
68,123,15466,6331,,0,,,0,,0,95
73,130,14548,5985,,0,,,0,,0,98
67,121,15735,6630,,0,,,0,,0,91
73,136,15159,6264,,0,,,0,,0,115
70,129,15408,6534,,0,,,0,,0,101
69,125,15215,6354,,0,,,0,,0,92
66,118,15502,6470,,0,,,0,,0,94
68,121,14987,6210,,0,,,0,,0,88
71,131,15395,6401,,0,,,0,,0,105
66,118,15502,6470,,0,,,0,,0,95
68,124,15268,6285,,0,,,0,,0,106
68,122,15125,6277,,0,,,0,,0,111
72,130,14721,5966,,0,,,0,,0,93
68,121,15367,6275,,0,,,0,,0,91
72,133,15194,6149,,0,,,0,,0,107
70,128,15097,6175,,0,,,0,,0,96
71,130,15129,6220,,0,,,0,,0,102
70,129,15408,6534,,0,,,0,,0,104
72,132,15307,6389,,0,,,0,,0,112
73,136,15159,6264,,0,,,0,,0,115
71,130,14892,6333,,0,,,0,,0,97
71,130,14885,6153,,0,,,0,,0,97
72,132,15307,6389,,0,,,0,,0,111
68,120,14704,5973,,0,,,0,,0,91
72,131,15385,6415,,0,,,0,,0,99
68,120,14849,6024,,0,,,0,,0,88
70,130,15195,6334,,0,,,0,,0,106
67,121,15735,6630,,0,,,0,,0,95
67,119,15016,6155,,0,,,0,,0,98
70,130,15195,6334,,0,,,0,,0,104
68,121,15591,6320,,0,,,0,,0,103
68,119,14958,6086,,0,,,0,,0,89
73,131,14693,6108,,0,,,0,,0,92
72,128,14772,6053,,0,,,0,,0,89
72,129,15020,6244,,0,,,0,,0,93
70,125,15072,6187,,0,,,0,,0,89
