FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
71,123,20165,10233,,0,,,0,,0,103
71,121,19982,10233,,0,,,0,,0,89
71,123,19969,10233,,0,,,0,,0,88
76,135,20550,10821,,0,,,0,,0,99
72,124,20239,10233,,0,,,0,,0,95
73,127,20416,10592,,0,,,0,,0,89
71,121,19964,9963,,0,,,0,,0,88
69,121,19700,10233,,0,,,0,,0,98
76,136,20202,10495,,0,,,0,,0,101
72,124,20239,10233,,0,,,0,,0,91
75,134,20122,10406,,0,,,0,,0,97
74,131,20242,10670,,0,,,0,,0,93
71,122,20047,9963,,0,,,0,,0,95
70,124,20127,10663,,0,,,0,,0,111
76,136,20487,10683,,0,,,0,,0,112
74,129,20746,11040,,0,,,0,,0,92
71,123,20012,10233,,0,,,0,,0,91
76,135,20393,10770,,0,,,0,,0,105
75,133,20238,10670,,0,,,0,,0,92
76,136,20487,10683,,0,,,0,,0,111
75,132,19606,10163,,0,,,0,,0,98
71,122,20066,10233,,0,,,0,,0,91
77,140,20586,10779,,0,,,0,,0,115
72,127,20455,10724,,0,,,0,,0,95
76,136,20202,10495,,0,,,0,,0,104
77,140,20586,10779,,0,,,0,,0,115
76,137,20464,10584,,0,,,0,,0,107
71,122,20047,9963,,0,,,0,,0,94
74,130,20383,10576,,0,,,0,,0,89
76,135,19923,10473,,0,,,0,,0,102
76,137,20359,10722,,0,,,0,,0,105
75,132,19877,10348,,0,,,0,,0,93
76,137,20359,10722,,0,,,0,,0,104
75,134,20137,10460,,0,,,0,,0,97
75,132,20145,10448,,0,,,0,,0,96
72,128,20018,10502,,0,,,0,,0,106
