FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
58,100,11351,2819,,0,,,0,,0,107
60,104,11727,2916,,0,,,0,,0,96
60,103,11510,2819,,0,,,0,,0,93
58,98,11615,2528,,0,,,0,,0,88
61,107,11944,3014,,0,,,0,,0,112
61,108,12081,3111,,0,,,0,,0,107
56,96,11490,2528,,0,,,0,,0,95
61,107,12016,2916,,0,,,0,,0,104
57,98,11638,2722,,0,,,0,,0,95
57,98,11638,2722,,0,,,0,,0,91
61,107,11758,3014,,0,,,0,,0,105
60,104,11747,2916,,0,,,0,,0,93
58,100,11398,2722,,0,,,0,,0,95
61,107,12016,2916,,0,,,0,,0,101
59,102,11528,2819,,0,,,0,,0,89
60,106,11789,3014,,0,,,0,,0,97
59,102,11840,2819,,0,,,0,,0,93
59,100,11327,2722,,0,,,0,,0,89
61,108,12095,3014,,0,,,0,,0,106
61,107,11843,3014,,0,,,0,,0,99
61,106,11706,3014,,0,,,0,,0,102
61,107,11944,3014,,0,,,0,,0,111
57,97,11410,2625,,0,,,0,,0,98
56,95,11168,2528,,0,,,0,,0,88
59,99,11761,2625,,0,,,0,,0,91
62,106,11857,2916,,0,,,0,,0,98
58,98,11541,2625,,0,,,0,,0,91
56,95,11215,2528,,0,,,0,,0,89
62,110,11956,3111,,0,,,0,,0,115
60,106,11711,2916,,0,,,0,,0,97
56,96,11490,2528,,0,,,0,,0,94
61,108,12095,3014,,0,,,0,,0,105
57,97,11415,2625,,0,,,0,,0,103
57,99,11684,2722,,0,,,0,,0,111
62,110,11956,3111,,0,,,0,,0,115
60,105,11902,2916,,0,,,0,,0,92
