FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
64,115,6949,3564,,0,,,0,,0,89
62,112,6913,3653,,0,,,0,,0,95
60,108,6523,3377,,0,,,0,,0,91
62,115,6696,3564,,0,,,0,,0,96
65,121,7261,3855,,0,,,0,,0,112
61,109,6787,3569,,0,,,0,,0,91
60,106,6597,3369,,0,,,0,,0,89
65,119,7068,3764,,0,,,0,,0,97
61,108,6955,3581,,0,,,0,,0,94
66,124,7334,3985,,0,,,0,,0,115
63,118,6776,3691,,0,,,0,,0,101
61,109,6801,3509,,0,,,0,,0,103
62,113,6809,3634,,0,,,0,,0,107
63,118,6837,3592,,0,,,0,,0,106
63,117,6671,3591,,0,,,0,,0,99
63,112,6903,3494,,0,,,0,,0,89
61,108,6511,3381,,0,,,0,,0,88
65,118,6968,3678,,0,,,0,,0,92
61,110,7010,3670,,0,,,0,,0,95
60,107,6529,3331,,0,,,0,,0,88
62,112,6631,3538,,0,,,0,,0,93
65,119,7136,3789,,0,,,0,,0,102
61,109,6761,3469,,0,,,0,,0,98
64,116,6771,3528,,0,,,0,,0,93
65,119,7092,3765,,0,,,0,,0,97
64,120,6900,3795,,0,,,0,,0,107
64,117,7024,3717,,0,,,0,,0,93
63,118,6837,3592,,0,,,0,,0,105
65,121,7261,3855,,0,,,0,,0,111
63,118,6776,3691,,0,,,0,,0,104
66,124,7334,3985,,0,,,0,,0,115
61,108,6955,3581,,0,,,0,,0,95
63,118,6776,3576,,0,,,0,,0,105
61,110,7010,3670,,0,,,0,,0,91
61,110,6929,3515,,0,,,0,,0,111
64,117,6812,3603,,0,,,0,,0,98
