FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
71,125,16324,6305,,0,,,0,,0,93
69,122,16508,6318,,0,,,0,,0,106
69,121,16396,6318,,0,,,0,,0,95
70,128,16905,6776,,0,,,0,,0,101
71,129,16872,6941,,0,,,0,,0,105
71,129,16872,6941,,0,,,0,,0,106
66,118,16067,5994,,0,,,0,,0,111
67,119,16009,5994,,0,,,0,,0,89
66,115,15747,5670,,0,,,0,,0,89
69,124,16614,6642,,0,,,0,,0,96
67,116,16070,5832,,0,,,0,,0,91
68,121,16232,6156,,0,,,0,,0,93
67,116,15937,5832,,0,,,0,,0,88
71,127,16934,6642,,0,,,0,,0,92
65,115,15850,5832,,0,,,0,,0,94
72,128,16650,6604,,0,,,0,,0,97
65,116,16017,5832,,0,,,0,,0,103
71,126,16394,6434,,0,,,0,,0,98
65,115,15850,5832,,0,,,0,,0,95
73,134,17615,7290,,0,,,0,,0,115
66,116,15854,5832,,0,,,0,,0,98
66,117,16167,5994,,0,,,0,,0,91
70,123,16406,6318,,0,,,0,,0,89
72,129,16912,6804,,0,,,0,,0,102
71,126,16643,6480,,0,,,0,,0,93
70,128,16905,6776,,0,,,0,,0,104
73,134,17615,7290,,0,,,0,,0,115
72,130,17204,6804,,0,,,0,,0,111
67,115,15554,5670,,0,,,0,,0,88
70,127,16552,6753,,0,,,0,,0,99
70,127,16472,6754,,0,,,0,,0,105
72,128,16847,6804,,0,,,0,,0,97
67,118,16055,5994,,0,,,0,,0,91
71,129,16830,7061,,0,,,0,,0,107
66,117,16167,5994,,0,,,0,,0,95
72,130,17204,6804,,0,,,0,,0,112
