FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
57,100,14224,6983,,0,,,0,,0,103
58,102,14143,6951,,0,,,0,,0,111
56,99,13478,6328,,0,,,0,,0,91
61,110,14897,7373,,0,,,0,,0,111
62,113,15104,7619,,0,,,0,,0,115
60,108,14731,7051,,0,,,0,,0,96
57,100,14211,6933,,0,,,0,,0,98
60,107,14078,6959,,0,,,0,,0,98
60,107,14534,7235,,0,,,0,,0,93
60,105,14664,7325,,0,,,0,,0,93
57,98,13538,6638,,0,,,0,,0,88
61,110,14897,7373,,0,,,0,,0,112
59,101,14125,6671,,0,,,0,,0,88
58,103,14437,7003,,0,,,0,,0,95
61,111,15197,7474,,0,,,0,,0,106
61,109,14527,7260,,0,,,0,,0,97
57,101,14873,7168,,0,,,0,,0,91
61,108,14350,7080,,0,,,0,,0,92
62,112,14724,7438,,0,,,0,,0,107
56,98,13530,6529,,0,,,0,,0,89
61,110,14823,7187,,0,,,0,,0,105
57,99,14301,6899,,0,,,0,,0,94
61,110,14595,7077,,0,,,0,,0,99
57,101,14873,7168,,0,,,0,,0,95
57,99,14301,6899,,0,,,0,,0,95
61,109,14525,7262,,0,,,0,,0,102
61,111,15197,7474,,0,,,0,,0,105
60,105,14169,6780,,0,,,0,,0,89
61,110,15130,7438,,0,,,0,,0,101
61,110,15130,7438,,0,,,0,,0,104
60,107,13991,6791,,0,,,0,,0,93
58,104,14097,6776,,0,,,0,,0,107
61,109,14545,7289,,0,,,0,,0,97
62,113,15104,7619,,0,,,0,,0,115
59,103,13988,6606,,0,,,0,,0,89
59,102,14741,7128,,0,,,0,,0,91
