FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
63,103,13823,4831,,0,,,0,,0,97
64,107,14364,5062,,0,,,0,,0,115
62,101,14080,4870,,0,,,0,,0,93
63,103,13942,4669,,0,,,0,,0,102
59,95,14237,4605,,0,,,0,,0,95
63,104,14239,4888,,0,,,0,,0,101
63,103,14160,4702,,0,,,0,,0,99
59,94,13487,4404,,0,,,0,,0,88
59,93,13566,4404,,0,,,0,,0,88
59,93,13896,4605,,0,,,0,,0,94
59,93,13548,4404,,0,,,0,,0,89
63,102,13685,4631,,0,,,0,,0,97
59,95,14237,4605,,0,,,0,,0,91
62,99,14107,4805,,0,,,0,,0,93
62,101,13982,4559,,0,,,0,,0,96
58,93,13647,4605,,0,,,0,,0,91
63,103,14031,4697,,0,,,0,,0,105
59,94,13744,4404,,0,,,0,,0,103
64,107,14364,5062,,0,,,0,,0,115
62,101,13383,4356,,0,,,0,,0,93
64,105,14362,4874,,0,,,0,,0,107
62,100,13573,4535,,0,,,0,,0,89
60,96,14066,4605,,0,,,0,,0,111
62,102,13473,4523,,0,,,0,,0,98
59,94,13650,4605,,0,,,0,,0,91
60,97,14228,4805,,0,,,0,,0,95
59,93,13896,4605,,0,,,0,,0,95
64,105,14360,4876,,0,,,0,,0,106
62,102,13779,4667,,0,,,0,,0,92
63,104,14429,5005,,0,,,0,,0,111
60,97,14194,4782,,0,,,0,,0,107
64,105,14360,4876,,0,,,0,,0,105
59,94,13830,4404,,0,,,0,,0,98
63,104,14429,5005,,0,,,0,,0,112
63,104,14239,4888,,0,,,0,,0,104
61,98,13936,4576,,0,,,0,,0,89
