FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
64,118,6087,2641,,0,,,0,,0,92
60,109,6249,2757,,0,,,0,,0,91
65,120,6224,2726,,0,,,0,,0,102
62,116,5875,2611,,0,,,0,,0,99
61,112,6030,2660,,0,,,0,,0,107
64,118,6145,2693,,0,,,0,,0,97
65,119,6191,2813,,0,,,0,,0,105
65,120,6401,2851,,0,,,0,,0,112
60,108,6013,2598,,0,,,0,,0,98
65,121,6391,2828,,0,,,0,,0,104
65,122,6367,2666,,0,,,0,,0,106
60,107,5892,2525,,0,,,0,,0,89
64,115,5944,2600,,0,,,0,,0,89
63,119,5930,2677,,0,,,0,,0,107
65,120,6401,2851,,0,,,0,,0,111
60,107,6027,2743,,0,,,0,,0,94
66,124,6521,2967,,0,,,0,,0,115
60,108,5809,2586,,0,,,0,,0,88
64,116,5963,2534,,0,,,0,,0,93
66,124,6521,2967,,0,,,0,,0,115
60,108,5967,2659,,0,,,0,,0,91
62,114,5767,2603,,0,,,0,,0,96
63,113,5928,2556,,0,,,0,,0,89
61,110,6103,2707,,0,,,0,,0,111
60,109,6249,2757,,0,,,0,,0,95
60,107,5827,2496,,0,,,0,,0,88
64,116,5998,2683,,0,,,0,,0,93
64,118,5949,2579,,0,,,0,,0,98
65,119,6037,2714,,0,,,0,,0,97
60,108,5745,2512,,0,,,0,,0,91
60,108,5998,2611,,0,,,0,,0,103
65,122,6367,2666,,0,,,0,,0,105
65,121,6391,2828,,0,,,0,,0,101
61,111,5852,2691,,0,,,0,,0,93
60,107,6027,2743,,0,,,0,,0,95
61,111,6066,2709,,0,,,0,,0,95
