FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
67,111,9427,5511,,0,,,0,,0,95
72,120,9975,6017,,0,,,0,,0,104
70,113,9792,5718,,0,,,0,,0,93
66,108,8852,4996,,0,,,0,,0,91
72,120,9891,5933,,0,,,0,,0,112
71,116,9452,5640,,0,,,0,,0,93
67,109,9572,5543,,0,,,0,,0,91
66,107,9334,5462,,0,,,0,,0,94
66,108,9298,5352,,0,,,0,,0,103
66,107,9334,5462,,0,,,0,,0,95
66,107,9042,5236,,0,,,0,,0,89
67,109,9572,5543,,0,,,0,,0,95
71,117,9487,5585,,0,,,0,,0,92
73,121,9939,5838,,0,,,0,,0,107
73,123,10072,6035,,0,,,0,,0,115
66,108,9227,5345,,0,,,0,,0,91
73,123,10072,6035,,0,,,0,,0,115
70,115,9492,5449,,0,,,0,,0,89
67,108,8884,5122,,0,,,0,,0,88
72,121,10064,6015,,0,,,0,,0,105
71,118,9554,5701,,0,,,0,,0,97
69,116,9428,5715,,0,,,0,,0,99
72,120,9891,5933,,0,,,0,,0,111
71,117,9355,5472,,0,,,0,,0,98
71,118,9442,5490,,0,,,0,,0,97
67,110,9496,5623,,0,,,0,,0,111
72,121,10064,6015,,0,,,0,,0,106
72,119,9702,5642,,0,,,0,,0,105
66,108,9251,5272,,0,,,0,,0,98
69,112,9304,5369,,0,,,0,,0,89
68,112,9334,5576,,0,,,0,,0,107
66,107,8965,5178,,0,,,0,,0,88
70,116,9729,5862,,0,,,0,,0,93
71,116,9777,5865,,0,,,0,,0,96
72,120,9975,6017,,0,,,0,,0,101
72,119,9678,5796,,0,,,0,,0,102
