FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
68,129,13050,3759,,0,,,0,,0,170
65,126,13146,3922,,0,,,0,,0,157
62,117,13105,3694,,0,,,0,,0,149
69,134,13395,4059,,0,,,0,,0,186
71,135,12748,3804,,0,,,0,,0,189
71,135,12748,3804,,0,,,0,,0,157
143,289,16533,4201,,0,,,0,,0,233
114,234,16166,4485,,0,,,0,,0,218
76,155,14708,4489,,0,,,0,,0,180
72,145,13461,4071,,0,,,0,,0,210
62,117,13225,3694,,0,,,0,,0,141
68,129,13050,3759,,0,,,0,,0,151
65,122,13140,3723,,0,,,0,,0,149
62,118,12930,3876,,0,,,0,,0,151
65,126,13536,4029,,0,,,0,,0,145
65,123,13210,3832,,0,,,0,,0,160
68,131,13425,3966,,0,,,0,,0,156
62,118,13146,3680,,0,,,0,,0,165
66,126,13495,3919,,0,,,0,,0,152
66,126,13495,3919,,0,,,0,,0,170
66,127,13213,3923,,0,,,0,,0,190
66,128,13302,4099,,0,,,0,,0,213
69,139,13836,4231,,0,,,0,,0,163
68,128,13174,3808,,0,,,0,,0,158
76,153,14207,4373,,0,,,0,,0,186
66,127,13253,3911,,0,,,0,,0,158
71,138,13072,3890,,0,,,0,,0,189
