FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
75,152,7681,4225,,0,,,0,,0,157
63,130,7505,4242,,0,,,0,,0,165
63,128,7565,4184,,0,,,0,,0,149
66,135,8012,4367,,0,,,0,,0,149
71,147,8030,4390,,0,,,0,,0,155
77,164,7966,4576,,0,,,0,,0,210
67,136,7877,4374,,0,,,0,,0,160
63,128,7777,4337,,0,,,0,,0,141
79,170,8657,4904,,0,,,0,,0,186
153,299,8491,3930,,0,,,0,,0,233
67,142,8140,4633,,0,,,0,,0,213
71,143,7828,4384,,0,,,0,,0,158
71,143,7742,4331,,0,,,0,,0,170
75,152,7681,4225,,0,,,0,,0,189
117,243,8061,4029,,0,,,0,,0,218
68,140,7871,4436,,0,,,0,,0,170
83,177,9396,5209,,0,,,0,,0,180
73,157,8506,4735,,0,,,0,,0,163
71,145,8295,4518,,0,,,0,,0,158
68,140,8030,4474,,0,,,0,,0,145
72,150,8100,4496,,0,,,0,,0,186
68,141,7937,4384,,0,,,0,,0,190
71,143,8166,4548,,0,,,0,,0,157
71,143,7742,4331,,0,,,0,,0,151
76,155,7869,4385,,0,,,0,,0,189
68,140,7871,4436,,0,,,0,,0,152
66,133,8075,4424,,0,,,0,,0,151
