FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
85,165.0,18618,7950,,0,,,0,,0,157
80,162.0,19002,8073,,0,,,0,,0,186
80,158.0,18491,7793,,0,,,0,,0,190
79,157.0,18583,7759,,0,,,0,,0,158
92,187.0,21518,9785,,0,,,0,,0,186
79,159.0,18613,8034,,0,,,0,,0,155
187,,20653,6926,,0,,,0,,0,233
85,165.0,18618,7950,,0,,,0,,0,189
84,172.0,20226,9125,,0,,,0,,0,162
70,140.0,18001,7550,,0,,,0,,0,141
78,155.0,18694,7771,,0,,,0,,0,157
79,156.0,18578,7626,,0,,,0,,0,152
79,156.0,18578,7626,,0,,,0,,0,170
78,155.0,18270,7625,,0,,,0,,0,158
95,193.0,22631,10200,,0,,,0,,0,180
88,178.0,20116,8982,,0,,,0,,0,210
86,170.0,19301,8451,,0,,,0,,0,189
73,144.0,17561,7344,,0,,,0,,0,151
77,156.0,17685,7413,,0,,,0,,0,212
75,148.0,17844,7399,,0,,,0,,0,149
143,283.0,22251,9078,,0,,,0,,0,218
70,139.0,17617,7296,,0,,,0,,0,149
79,156.0,17985,7593,,0,,,0,,0,169
73,143.0,17745,7146,,0,,,0,,0,164
75,149.0,17997,7370,,0,,,0,,0,160
79,156.0,19003,8059,,0,,,0,,0,145
79,156.0,17985,7593,,0,,,0,,0,151
