FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
71,143,7006,3388,,0,,,0,,0,157
72,150,6978,3366,,0,,,0,,0,186
68,140,6888,3332,,0,,,0,,0,145
67,136,6757,3254,,0,,,0,,0,160
77,164,6841,3451,,0,,,0,,0,210
71,143,6719,3275,,0,,,0,,0,158
75,152,6630,3174,,0,,,0,,0,157
75,152,6630,3174,,0,,,0,,0,189
71,143,6649,3238,,0,,,0,,0,170
117,243,7115,3083,,0,,,0,,0,218
71,143,6649,3238,,0,,,0,,0,151
83,177,8085,3898,,0,,,0,,0,180
68,140,6751,3310,,0,,,0,,0,152
68,141,6827,3275,,0,,,0,,0,190
79,170,7440,3687,,0,,,0,,0,186
73,157,7320,3549,,0,,,0,,0,163
63,128,6659,3219,,0,,,0,,0,141
63,130,6420,3158,,0,,,0,,0,165
71,147,6923,3283,,0,,,0,,0,155
76,155,6778,3294,,0,,,0,,0,189
66,133,6935,3283,,0,,,0,,0,151
66,135,6894,3249,,0,,,0,,0,149
67,142,6973,3456,,0,,,0,,0,213
71,145,7144,3367,,0,,,0,,0,158
63,128,6490,3109,,0,,,0,,0,149
153,299,7583,3022,,0,,,0,,0,233
68,140,6751,3310,,0,,,0,,0,170
