FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
101,211.0,20472,8597,,0,,,0,,0,210
84,175.0,18981,7677,,0,,,0,,0,164
95,199.0,20671,8669,,0,,,0,,0,186
83,173.0,19494,7724,,0,,,0,,0,141
94,195.0,20053,8528,,0,,,0,,0,188
89,186.0,19657,8260,,0,,,0,,0,151
88,183.0,19891,8176,,0,,,0,,0,159
94,195.0,20053,8528,,0,,,0,,0,157
89,186.0,19951,8420,,0,,,0,,0,170
91,190.0,19912,8538,,0,,,0,,0,212
91,187.0,20214,8473,,0,,,0,,0,157
89,186.0,20266,8647,,0,,,0,,0,145
85,178.0,19885,8038,,0,,,0,,0,151
98,208.0,21896,9511,,0,,,0,,0,162
166,,24242,9638,,0,,,0,,0,218
91,190.0,20322,8535,,0,,,0,,0,157
105,222.0,20507,8702,,0,,,0,,0,186
212,,19560,4585,,0,,,0,,0,233
83,172.0,19116,7637,,0,,,0,,0,149
89,186.0,19951,8420,,0,,,0,,0,152
89,186.0,19657,8260,,0,,,0,,0,169
86,179.0,19481,8056,,0,,,0,,0,149
95,200.0,20323,8833,,0,,,0,,0,189
91,190.0,20610,8596,,0,,,0,,0,190
108,227.0,21124,8898,,0,,,0,,0,180
91,188.0,20015,8389,,0,,,0,,0,158
92,192.0,20352,8753,,0,,,0,,0,155
