FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
87,162.0,24919,14280,,0,,,0,,0,151
84,157.0,24327,14099,,0,,,0,,0,149
94,176.0,26500,15624,,0,,,0,,0,155
96,181.0,25756,14986,,0,,,0,,0,188
106,201.0,23853,13349,,0,,,0,,0,210
96,181.0,25756,14986,,0,,,0,,0,157
91,169.0,26127,15058,,0,,,0,,0,145
94,180.0,26636,15579,,0,,,0,,0,186
90,171.0,25695,14893,,0,,,0,,0,152
91,171.0,25643,14942,,0,,,0,,0,157
105,202.0,25941,14846,,0,,,0,,0,186
98,188.0,27291,16029,,0,,,0,,0,162
84,157.0,25024,14328,,0,,,0,,0,141
93,175.0,26016,14903,,0,,,0,,0,169
213,,25704,11214,,0,,,0,,0,233
90,168.0,25231,14713,,0,,,0,,0,157
90,169.0,24964,14547,,0,,,0,,0,158
93,177.0,26461,15295,,0,,,0,,0,190
93,177.0,26755,15502,,0,,,0,,0,212
87,164.0,24882,14672,,0,,,0,,0,159
93,175.0,26016,14903,,0,,,0,,0,151
97,186.0,26667,15321,,0,,,0,,0,189
90,171.0,25695,14893,,0,,,0,,0,170
105,205.0,27201,15541,,0,,,0,,0,180
162,297.0,27407,14764,,0,,,0,,0,218
87,162.0,24998,14442,,0,,,0,,0,149
84,158.0,24655,14246,,0,,,0,,0,164
