FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
89,169.0,19410,9443,,0,,,0,,0,157
104,203.0,20157,9549,,0,,,0,,0,186
93,180.0,20803,10208,,0,,,0,,0,186
104,206.0,20348,9704,,0,,,0,,0,180
95,181.0,19981,9440,,0,,,0,,0,188
92,177.0,20429,9807,,0,,,0,,0,212
91,175.0,19978,9475,,0,,,0,,0,170
83,158.0,18704,8918,,0,,,0,,0,164
161,297.0,21314,9380,,0,,,0,,0,218
210,,20806,7025,,0,,,0,,0,233
91,175.0,19978,9475,,0,,,0,,0,152
83,156.0,18625,9000,,0,,,0,,0,149
88,167.0,19588,9390,,0,,,0,,0,159
92,177.0,20332,9809,,0,,,0,,0,190
96,187.0,20024,9578,,0,,,0,,0,189
105,201.0,18267,8438,,0,,,0,,0,210
92,175.0,19938,9434,,0,,,0,,0,151
90,171.0,19069,9310,,0,,,0,,0,157
86,162.0,18570,8971,,0,,,0,,0,149
92,175.0,19938,9434,,0,,,0,,0,169
97,189.0,21108,10415,,0,,,0,,0,162
85,162.0,19107,9241,,0,,,0,,0,151
90,169.0,19576,9734,,0,,,0,,0,145
92,172.0,19346,9351,,0,,,0,,0,158
93,176.0,19896,9890,,0,,,0,,0,155
83,157.0,18862,9100,,0,,,0,,0,141
95,181.0,19981,9440,,0,,,0,,0,157
