FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
72,156.0,23584,13630,,0,,,0,,0,190
71,151.0,22426,12739,,0,,,0,,0,158
76,168.0,26644,15837,,0,,,0,,0,162
72,155.0,23290,13293,,0,,,0,,0,170
79,179.0,25246,14713,,0,,,0,,0,210
69,147.0,22099,12344,,0,,,0,,0,160
76,167.0,25088,14474,,0,,,0,,0,189
80,181.0,25785,15266,,0,,,0,,0,186
158,,24273,11578,,0,,,0,,0,233
69,150.0,21965,12602,,0,,,0,,0,158
66,141.0,21775,12076,,0,,,0,,0,164
120,273.0,22464,11777,,0,,,0,,0,218
72,154.0,23303,13508,,0,,,0,,0,170
75,162.0,23903,13789,,0,,,0,,0,157
71,157.0,23816,14019,,0,,,0,,0,212
66,139.0,21728,11966,,0,,,0,,0,141
73,160.0,24147,14287,,0,,,0,,0,186
72,155.0,23098,13374,,0,,,0,,0,155
72,155.0,23290,13293,,0,,,0,,0,151
80,183.0,25583,15329,,0,,,0,,0,180
69,148.0,22459,12721,,0,,,0,,0,145
68,144.0,21446,12028,,0,,,0,,0,149
72,154.0,23303,13508,,0,,,0,,0,152
71,151.0,22504,12703,,0,,,0,,0,157
75,162.0,23903,13789,,0,,,0,,0,189
66,141.0,21469,12090,,0,,,0,,0,151
66,139.0,21800,11982,,0,,,0,,0,149
