FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
111,167.0,11941,4351,,0,,,0,,0,169
110,166.0,12220,4322,,0,,,0,,0,152
103,155.0,12255,4320,,0,,,0,,0,164
108,163.0,12435,4559,,0,,,0,,0,145
128,193.0,12003,4320,,0,,,0,,0,210
130,198.0,13073,4606,,0,,,0,,0,180
114,174.0,12389,4467,,0,,,0,,0,186
112,169.0,12129,4486,,0,,,0,,0,190
256,,12197,2182,,0,,,0,,0,233
100,150.0,12183,4243,,0,,,0,,0,141
116,175.0,12251,4353,,0,,,0,,0,188
109,165.0,12058,4398,,0,,,0,,0,158
126,194.0,13228,4676,,0,,,0,,0,186
111,169.0,12017,4259,,0,,,0,,0,212
103,155.0,11840,4208,,0,,,0,,0,151
119,180.0,12671,4631,,0,,,0,,0,189
118,182.0,12857,4715,,0,,,0,,0,162
108,163.0,12223,4382,,0,,,0,,0,157
205,297.0,15431,5421,,0,,,0,,0,218
108,163.0,12035,4307,,0,,,0,,0,158
111,167.0,11941,4351,,0,,,0,,0,151
111,169.0,12557,4571,,0,,,0,,0,155
106,160.0,11990,4252,,0,,,0,,0,159
104,157.0,12183,4391,,0,,,0,,0,149
116,175.0,12251,4353,,0,,,0,,0,157
102,153.0,12281,4259,,0,,,0,,0,149
110,166.0,12220,4322,,0,,,0,,0,170
