FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
69,129,19439,10815,,0,,,0,,0,141
72,137,19911,11599,,0,,,0,,0,145
75,143,21403,12829,,0,,,0,,0,152
84,168,22684,13629,,0,,,0,,0,186
166,313,23550,11693,,0,,,0,,0,233
74,140,20255,11805,,0,,,0,,0,157
75,143,21403,12829,,0,,,0,,0,170
69,130,19036,10717,,0,,,0,,0,165
83,166,21730,12963,,0,,,0,,0,210
75,145,21806,13075,,0,,,0,,0,190
76,148,21490,13213,,0,,,0,,0,186
69,131,18619,10549,,0,,,0,,0,151
75,144,20888,12351,,0,,,0,,0,151
84,170,23583,14390,,0,,,0,,0,180
125,255,20597,10786,,0,,,0,,0,218
74,140,19972,11616,,0,,,0,,0,158
75,144,20674,12469,,0,,,0,,0,155
72,136,19410,11242,,0,,,0,,0,160
78,150,21352,12610,,0,,,0,,0,157
78,150,21352,12610,,0,,,0,,0,189
75,144,20888,12351,,0,,,0,,0,170
74,146,21868,13296,,0,,,0,,0,213
79,156,23020,14068,,0,,,0,,0,163
79,155,21544,12797,,0,,,0,,0,189
71,133,19283,10968,,0,,,0,,0,149
72,139,19837,11608,,0,,,0,,0,158
69,129,19344,11101,,0,,,0,,0,149
