FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
70,151.0,20548,12938,,0,,,0,,0,149
76,168.0,23104,15314,,0,,,0,,0,186
76,174.0,23795,15825,,0,,,0,,0,162
68,146.0,20374,12883,,0,,,0,,0,149
83,192.0,24276,15723,,0,,,0,,0,180
73,159.0,21341,13754,,0,,,0,,0,158
74,163.0,22082,14283,,0,,,0,,0,169
74,162.0,22176,14298,,0,,,0,,0,170
68,148.0,20185,12844,,0,,,0,,0,151
71,154.0,20889,13227,,0,,,0,,0,159
162,,19302,10002,,0,,,0,,0,233
78,175.0,23562,15342,,0,,,0,,0,189
83,190.0,24491,15993,,0,,,0,,0,186
74,162.0,22176,14298,,0,,,0,,0,152
73,165.0,23278,15439,,0,,,0,,0,212
68,146.0,20975,13366,,0,,,0,,0,141
77,170.0,23172,15007,,0,,,0,,0,157
74,163.0,22082,14283,,0,,,0,,0,151
68,147.0,20395,12836,,0,,,0,,0,164
74,164.0,22618,14865,,0,,,0,,0,190
71,158.0,20579,13300,,0,,,0,,0,158
71,156.0,21090,13472,,0,,,0,,0,145
124,284.0,19753,11557,,0,,,0,,0,218
71,156.0,20990,13392,,0,,,0,,0,157
82,188.0,23553,15168,,0,,,0,,0,210
77,170.0,23172,15007,,0,,,0,,0,189
74,163.0,22259,14393,,0,,,0,,0,155
