FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
77,144,13246,4056,,0,,,0,,0,142
78,147,13494,4300,,0,,,0,,0,140
82,154,14116,4471,,0,,,0,,0,137
75,141,13685,4173,,0,,,0,,0,158
79,146,12966,4023,,0,,,0,,0,138
140,254,16569,4513,,0,,,0,,0,211
78,147,13500,4242,,0,,,0,,0,142
82,154,14116,4471,,0,,,0,,0,146
96,182,14832,4511,,0,,,0,,0,160
77,144,13246,4056,,0,,,0,,0,147
91,176,14520,4481,,0,,,0,,0,165
96,182,14832,4511,,0,,,0,,0,147
81,152,13728,4307,,0,,,0,,0,147
88,166,14979,4661,,0,,,0,,0,158
75,139,13561,4128,,0,,,0,,0,149
120,220,16882,4712,,0,,,0,,0,209
137,246,16308,4324,,0,,,0,,0,189
108,202,15022,4172,,0,,,0,,0,190
79,146,12966,4023,,0,,,0,,0,128
78,147,13500,4242,,0,,,0,,0,136
83,159,14310,4503,,0,,,0,,0,148
77,144,12925,4129,,0,,,0,,0,174
146,264,16916,4454,,0,,,0,,0,209
93,178,14614,4496,,0,,,0,,0,187
