FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
106,179.0,30515,17421,,0,,,0,,0,149
114,190.0,31393,17590,,0,,,0,,0,140
128,209.0,35058,20052,,0,,,0,,0,157
117,195.0,32457,18601,,0,,,0,,0,147
139,223.0,36057,20312,,0,,,0,,0,187
210,,38493,21707,,0,,,0,,0,209
202,,40869,23522,,0,,,0,,0,210
111,185.0,29781,16631,,0,,,0,,0,173
137,219.0,34484,19793,,0,,,0,,0,165
143,226.0,34809,19495,,0,,,0,,0,147
119,195.0,31895,18141,,0,,,0,,0,146
124,205.0,34617,20101,,0,,,0,,0,148
114,190.0,31656,17753,,0,,,0,,0,141
111,185.0,30889,17290,,0,,,0,,0,141
109,184.0,31670,17923,,0,,,0,,0,158
114,187.0,29832,16499,,0,,,0,,0,138
197,304.0,39917,23343,,0,,,0,,0,188
161,250.0,36908,21521,,0,,,0,,0,189
143,226.0,34809,19495,,0,,,0,,0,160
114,190.0,31656,17753,,0,,,0,,0,136
114,187.0,29832,16499,,0,,,0,,0,128
111,185.0,30889,17290,,0,,,0,,0,146
175,272.0,39170,22876,,0,,,0,,0,208
119,195.0,31895,18141,,0,,,0,,0,137
