FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
96,168,12151,7962,,0,,,0,,0,147
98,171,11712,7515,,0,,,0,,0,146
94,162,11748,7541,,0,,,0,,0,138
105,183,12919,8648,,0,,,0,,0,158
98,171,11712,7515,,0,,,0,,0,137
115,197,13484,8454,,0,,,0,,0,147
92,163,12568,8330,,0,,,0,,0,136
91,159,11743,7566,,0,,,0,,0,142
92,163,12469,8255,,0,,,0,,0,140
99,176,12166,7991,,0,,,0,,0,148
113,195,13604,8665,,0,,,0,,0,187
130,218,14661,9212,,0,,,0,,0,189
110,192,13138,8266,,0,,,0,,0,165
92,163,12568,8330,,0,,,0,,0,141
142,238,13821,8445,,0,,,0,,0,209
165,267,16487,10174,,0,,,0,,0,188
175,287,17106,10750,,0,,,0,,0,209
167,277,17296,10636,,0,,,0,,0,211
93,162,11903,7532,,0,,,0,,0,174
94,162,11748,7541,,0,,,0,,0,128
89,157,11922,7617,,0,,,0,,0,158
91,159,11743,7566,,0,,,0,,0,146
115,197,13484,8454,,0,,,0,,0,160
88,154,11713,7529,,0,,,0,,0,149
