FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
82,156,19575,11134,,0,,,0,,0,138
144,260,21943,11204,,0,,,0,,0,189
81,154,19464,10909,,0,,,0,,0,147
81,157,19731,11180,,0,,,0,,0,141
82,156,19575,11134,,0,,,0,,0,128
101,192,20173,11024,,0,,,0,,0,160
125,233,23391,12272,,0,,,0,,0,209
78,149,19006,10654,,0,,,0,,0,149
92,177,20710,11790,,0,,,0,,0,158
84,162,20258,11677,,0,,,0,,0,147
87,170,20889,12200,,0,,,0,,0,148
80,154,18815,10557,,0,,,0,,0,174
81,157,19579,11086,,0,,,0,,0,140
113,213,21298,11308,,0,,,0,,0,189
97,189,21480,11839,,0,,,0,,0,187
78,151,19062,10751,,0,,,0,,0,158
81,157,19731,11180,,0,,,0,,0,136
101,192,20173,11024,,0,,,0,,0,147
85,164,20406,11766,,0,,,0,,0,146
81,154,19464,10909,,0,,,0,,0,142
85,164,20406,11766,,0,,,0,,0,137
94,186,20481,11272,,0,,,0,,0,165
153,280,23005,11764,,0,,,0,,0,209
146,269,22623,11607,,0,,,0,,0,211
