FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
94,186.0,24091,14949,,0,,,0,,0,141
151,276.0,28462,16804,,0,,,0,,0,208
186,,32405,19071,,0,,,0,,0,209
97,188.0,23754,14443,,0,,,0,,0,138
108,210.0,24569,14938,,0,,,0,,0,157
97,191.0,24599,15226,,0,,,0,,0,136
92,184.0,24296,15091,,0,,,0,,0,158
97,188.0,23754,14443,,0,,,0,,0,128
121,227.0,27857,16922,,0,,,0,,0,160
136,252.0,28399,16983,,0,,,0,,0,189
100,196.0,24200,14831,,0,,,0,,0,147
116,221.0,25699,15297,,0,,,0,,0,165
94,186.0,24091,14949,,0,,,0,,0,146
97,191.0,24599,15226,,0,,,0,,0,141
101,197.0,24038,14482,,0,,,0,,0,146
97,192.0,24397,15094,,0,,,0,,0,140
95,188.0,23778,14391,,0,,,0,,0,173
175,,36374,22240,,0,,,0,,0,210
120,226.0,27850,16966,,0,,,0,,0,187
121,227.0,27857,16922,,0,,,0,,0,147
174,308.0,34912,21472,,0,,,0,,0,188
91,181.0,24261,14923,,0,,,0,,0,149
103,206.0,25400,15544,,0,,,0,,0,148
101,197.0,24038,14482,,0,,,0,,0,137
