FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
69,143,8103,4593,,0,,,0,,0,158
113,238,8489,4314,,0,,,0,,0,211
72,153,8039,4568,,0,,,0,,0,146
66,140,7872,4522,,0,,,0,,0,128
122,250,8532,4148,,0,,,0,,0,209
112,233,8630,4280,,0,,,0,,0,189
77,166,7925,4354,,0,,,0,,0,187
68,141,7989,4378,,0,,,0,,0,149
70,148,8091,4456,,0,,,0,,0,140
75,162,8373,4725,,0,,,0,,0,158
66,140,7872,4522,,0,,,0,,0,138
82,179,9314,5120,,0,,,0,,0,147
70,148,8114,4473,,0,,,0,,0,136
101,207,9259,4781,,0,,,0,,0,209
69,144,8195,4545,,0,,,0,,0,147
70,148,8114,4473,,0,,,0,,0,141
82,179,9314,5120,,0,,,0,,0,160
74,154,8491,4736,,0,,,0,,0,147
91,191,8962,4773,,0,,,0,,0,190
80,166,8424,4797,,0,,,0,,0,148
72,153,8039,4568,,0,,,0,,0,137
80,175,8661,4827,,0,,,0,,0,165
69,144,8195,4545,,0,,,0,,0,142
67,143,8328,4658,,0,,,0,,0,174
