FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
111,202.0,26802,14701,,0,,,0,,0,136
114,209.0,27150,14706,,0,,,0,,0,137
107,196.0,26464,14335,,0,,,0,,0,141
119,222.0,27940,15501,,0,,,0,,0,157
112,206.0,27069,14888,,0,,,0,,0,147
107,196.0,26464,14335,,0,,,0,,0,146
105,194.0,26870,14558,,0,,,0,,0,138
167,294.0,32645,18030,,0,,,0,,0,208
129,237.0,28375,15630,,0,,,0,,0,186
130,239.0,28776,16011,,0,,,0,,0,147
106,196.0,26776,14627,,0,,,0,,0,173
105,194.0,26870,14558,,0,,,0,,0,128
107,195.0,25979,14140,,0,,,0,,0,149
114,209.0,27150,14706,,0,,,0,,0,146
188,,29698,15259,,0,,,0,,0,188
130,239.0,28776,16011,,0,,,0,,0,160
111,202.0,26802,14701,,0,,,0,,0,141
111,202.0,26826,14682,,0,,,0,,0,140
122,223.0,28117,15553,,0,,,0,,0,148
204,,25626,11229,,0,,,0,,0,209
128,232.0,27670,14980,,0,,,0,,0,165
108,198.0,26884,14689,,0,,,0,,0,158
152,270.0,30308,16663,,0,,,0,,0,189
191,,27395,12946,,0,,,0,,0,210
