FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
88,167,19337,8570,,0,,,0,,0,138
105,201,19737,8607,,0,,,0,,0,165
89,172,20087,9032,,0,,,0,,0,141
86,166,19378,8450,,0,,,0,,0,158
93,180,20498,9279,,0,,,0,,0,146
124,233,21808,9404,,0,,,0,,0,189
93,180,20498,9279,,0,,,0,,0,137
170,310,24815,10180,,0,,,0,,0,209
96,187,20540,9350,,0,,,0,,0,148
92,177,20277,9087,,0,,,0,,0,147
106,205,20004,8724,,0,,,0,,0,187
138,254,22740,9764,,0,,,0,,0,208
97,189,20684,9392,,0,,,0,,0,158
88,168,19826,8639,,0,,,0,,0,142
88,167,19337,8570,,0,,,0,,0,128
87,168,19517,8578,,0,,,0,,0,174
89,172,20087,9032,,0,,,0,,0,136
89,172,19943,8958,,0,,,0,,0,140
109,209,20464,8886,,0,,,0,,0,160
88,168,19826,8639,,0,,,0,,0,146
158,303,24386,10192,,0,,,0,,0,210
109,209,20464,8886,,0,,,0,,0,147
155,286,24087,10112,,0,,,0,,0,188
85,164,19197,8286,,0,,,0,,0,149
