FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
81,155,18549,8375,,0,,,0,,0,147
95,186,20430,9721,,0,,,0,,0,187
109,213,19629,8494,,0,,,0,,0,189
150,283,22112,9465,,0,,,0,,0,209
97,190,20716,9757,,0,,,0,,0,160
78,150,18702,8512,,0,,,0,,0,149
86,166,20199,9533,,0,,,0,,0,137
81,154,18074,8077,,0,,,0,,0,128
90,174,20271,9683,,0,,,0,,0,158
81,158,19491,8915,,0,,,0,,0,141
84,163,19493,8929,,0,,,0,,0,147
95,185,20499,9676,,0,,,0,,0,165
141,276,21759,9403,,0,,,0,,0,211
88,172,20698,9918,,0,,,0,,0,148
78,152,18863,8571,,0,,,0,,0,158
81,155,18549,8375,,0,,,0,,0,142
81,158,19352,8839,,0,,,0,,0,140
79,153,18237,8326,,0,,,0,,0,174
81,158,19491,8915,,0,,,0,,0,136
123,234,21023,9116,,0,,,0,,0,209
86,166,20199,9533,,0,,,0,,0,146
97,190,20716,9757,,0,,,0,,0,147
81,154,18074,8077,,0,,,0,,0,138
138,263,22032,9510,,0,,,0,,0,188
