FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
97,187,7634,3584,,0,,,0,,0,160
79,156,7061,3385,,0,,,0,,0,146
78,154,6688,3249,,0,,,0,,0,138
139,264,6860,2936,,0,,,0,,0,209
84,164,6956,3448,,0,,,0,,0,148
105,204,6575,3050,,0,,,0,,0,189
76,152,6779,3348,,0,,,0,,0,158
94,188,7920,3781,,0,,,0,,0,165
129,248,6789,2967,,0,,,0,,0,189
79,156,7061,3385,,0,,,0,,0,142
84,167,7313,3609,,0,,,0,,0,137
83,165,7295,3564,,0,,,0,,0,147
80,159,7038,3456,,0,,,0,,0,136
80,159,6994,3435,,0,,,0,,0,140
80,159,7038,3456,,0,,,0,,0,141
97,187,7634,3584,,0,,,0,,0,147
78,154,6688,3249,,0,,,0,,0,128
93,183,7409,3510,,0,,,0,,0,187
132,258,6773,2982,,0,,,0,,0,211
115,221,6670,2951,,0,,,0,,0,209
84,167,7313,3609,,0,,,0,,0,146
74,144,6476,3155,,0,,,0,,0,149
87,169,7045,3458,,0,,,0,,0,158
79,156,6809,3363,,0,,,0,,0,174
