FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
133,246.0,20994,9678,,0,,,0,,0,189
95,182.0,18811,8918,,0,,,0,,0,136
98,188.0,19119,9090,,0,,,0,,0,147
102,198.0,19286,9223,,0,,,0,,0,148
92,174.0,18767,8889,,0,,,0,,0,149
94,178.0,18805,8954,,0,,,0,,0,128
113,212.0,18907,8708,,0,,,0,,0,165
165,300.0,23300,10548,,0,,,0,,0,188
95,179.0,18596,8725,,0,,,0,,0,141
93,178.0,18802,8996,,0,,,0,,0,173
147,267.0,21694,9905,,0,,,0,,0,208
115,217.0,19787,9149,,0,,,0,,0,187
104,200.0,18648,8858,,0,,,0,,0,157
117,221.0,19856,9351,,0,,,0,,0,147
92,177.0,19002,9041,,0,,,0,,0,158
94,178.0,18805,8954,,0,,,0,,0,138
117,221.0,19856,9351,,0,,,0,,0,160
95,183.0,18670,8839,,0,,,0,,0,140
100,190.0,18859,9138,,0,,,0,,0,146
100,190.0,18859,9138,,0,,,0,,0,137
168,,23865,10847,,0,,,0,,0,210
181,,24260,10872,,0,,,0,,0,209
95,182.0,18811,8918,,0,,,0,,0,141
95,179.0,18596,8725,,0,,,0,,0,146
