FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
95,196.0,24258,11362,,0,,,0,,0,141
92,192.0,24395,11441,,0,,,0,,0,128
185,,28468,11237,,0,,,0,,0,209
92,190.0,23810,11174,,0,,,0,,0,149
167,,29436,13275,,0,,,0,,0,188
92,192.0,24395,11441,,0,,,0,,0,138
95,196.0,24258,11362,,0,,,0,,0,146
112,234.0,25655,11980,,0,,,0,,0,160
94,195.0,24166,11253,,0,,,0,,0,173
106,219.0,25331,11963,,0,,,0,,0,157
113,233.0,25581,11902,,0,,,0,,0,186
173,,28753,11758,,0,,,0,,0,210
96,200.0,25050,11717,,0,,,0,,0,140
148,289.0,25903,11559,,0,,,0,,0,208
100,207.0,25405,12164,,0,,,0,,0,147
130,262.0,24106,10564,,0,,,0,,0,189
111,229.0,24812,11404,,0,,,0,,0,165
97,204.0,24726,11554,,0,,,0,,0,146
97,204.0,24726,11554,,0,,,0,,0,137
96,200.0,24803,11751,,0,,,0,,0,136
96,200.0,24803,11751,,0,,,0,,0,141
105,219.0,25338,12119,,0,,,0,,0,148
93,194.0,24055,11335,,0,,,0,,0,158
112,234.0,25655,11980,,0,,,0,,0,147
